60 FLAT,SCREEN "" 71.69709888 -19.13413 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.309 "" BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.09 1.09 0.97 0.97 2 2021-01-17T00:10:20 2 2021-01-17T00:10:52
60 FLAT,SCREEN "" 71.69704305 -19.13412 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.576 "" BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.089 1.089 0.97 0.97 2 2021-01-17T00:10:20 3 2021-01-17T00:11:32
60 FLAT,SCREEN "" 71.69698694 -19.13412 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.576 "" BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.088 1.088 0.97 0.97 2 2021-01-17T00:10:20 4 2021-01-17T00:12:13
60 FLAT,SCREEN "" 71.69693305 -19.13412 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.576 "" BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.087 1.087 0.97 0.97 2 2021-01-17T00:10:20 5 2021-01-17T00:12:54
60 FLAT,SCREEN "" 71.69688111 -19.13412 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.575 "" BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.086 1.085 0.97 0.97 2 2021-01-17T00:10:20 6 2021-01-17T00:13:35
60 SKY HR1502 70.13991888 -41.86366 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION IMAGE SKY 0.999 "" BB#RC/162_ESO844 Pointing-0440-4151 100185389 1.054 1.054 1.55 1.55 1 2021-01-17T00:30:18 1 2021-01-17T00:31:16
104 "" "" 70.10081111 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 6.523 "" G,R,I,Z testOB -1 1.047 1.047 1.25 1.25 1 2021-01-17T00:38:00 1 2021-01-17T00:38:22
104 "" "" 70.10081805 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.048 1.048 1.25 1.25 1 2021-01-17T00:38:00 2 2021-01-17T00:38:23
104 "" "" 70.10081194 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.048 1.048 1.25 1.25 1 2021-01-17T00:38:00 3 2021-01-17T00:38:29
104 "" "" 70.100815 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.048 1.047 1.25 1.25 1 2021-01-17T00:38:00 4 2021-01-17T00:38:35
104 "" "" 70.10081111 -41.88435 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 2.0 J,H,K testOB -1 1.047 1.047 1.25 1.25 1 2021-01-17T00:38:00 5 2021-01-17T00:38:44
